time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-03-03 10:00:00,231.1885135,77.26666666666667,1009.25,0.7083333333333334,87.75999999999999,8.727500000000001,6.646416666666667,5.339416666666668,0,4,10,3,129.9404205,
2017-03-03 11:00:00,209.535819,74.40666666666667,1009.9166666666666,2.2,195.45916666666665,8.495,10.504,8.207749999999999,0,4,11,3,231.1885135,
2017-03-03 12:00:00,219.3890765,58.66833333333333,1010.0,0.3333333333333333,599.8333333333334,9.9925,10.461666666666668,8.29975,0,4,12,3,209.535819,
2017-03-03 13:00:00,223.9076565,57.76916666666667,1009.0833333333334,0.075,447.25,10.203333333333331,13.8575,10.635666666666667,0,4,13,3,219.3890765,
2017-03-03 14:00:00,219.701313,55.43166666666667,1009.5833333333334,0.1833333333333333,348.5525,9.400833333333331,14.361666666666666,11.172166666666667,0,4,14,3,223.9076565,
2017-03-03 15:00:00,210.371363,70.2,1010.0,0.425,383.325,8.4655,10.504416666666666,8.356583333333333,0,4,15,3,219.701313,
2017-03-03 16:00:00,210.7810505,56.19833333333333,1010.25,0.1166666666666666,267.4841666666667,9.943333333333332,13.144166666666663,10.586,0,4,16,3,210.371363,
2017-03-03 17:00:00,158.8588955,55.09333333333333,1010.8333333333334,0.0083333333333333,76.8625,9.458333333333334,12.20275,9.684416666666666,0,4,17,3,210.7810505,
2017-03-03 18:00:00,136.0759005,67.32416666666667,1011.6666666666666,0.1333333333333333,17.193583333333333,8.365833333333333,6.855833333333334,5.412333333333334,0,4,18,3,158.8588955,
2017-03-03 19:00:00,101.2513705,72.60833333333333,1012.25,0.3333333333333333,1.6137500000000002,8.275833333333333,6.478333333333333,5.391666666666667,0,4,19,3,136.0759005,
2017-03-03 20:00:00,79.198384,65.56416666666667,1013.0,0.0333333333333333,0.7271666666666667,9.074166666666668,6.310416666666668,4.991333333333333,0,4,20,3,101.2513705,
2017-03-03 21:00:00,56.7752585,65.91,1013.0,0.0,0.921,9.195833333333333,3.752916666666666,2.7535000000000003,0,4,21,3,79.198384,
2017-03-03 22:00:00,48.2332195,61.965833333333336,1013.0,0.0,0.8103333333333333,9.666666666666666,2.9770833333333333,2.2433333333333336,0,4,22,3,56.7752585,
2017-03-03 23:00:00,45.751715,65.47769230769231,1012.8461538461538,0.0,1.647307692307692,9.646153846153847,5.011846153846154,4.007538461538461,0,4,23,3,48.2332195,
2017-03-04 00:00:00,44.867227,73.27083333333333,1011.8333333333334,0.2583333333333333,2.384583333333333,9.455,3.794666666666666,3.078333333333333,0,5,0,3,45.751715,
2017-03-04 01:00:00,43.5394025,80.3,1010.9166666666666,1.1583333333333334,2.1491666666666664,9.17,1.6981666666666666,1.3644999999999998,0,5,1,3,44.867227,
2017-03-04 02:00:00,43.17997,86.85833333333333,1009.3333333333334,2.466666666666667,0.8380833333333334,8.8275,3.98325,3.17625,0,5,2,3,43.5394025,
2017-03-04 03:00:00,43.064602,89.89999999999999,1007.0,2.4250000000000003,0.7204166666666666,8.246666666666668,7.58875,5.8755,0,5,3,3,43.17997,
